id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__atl100.dll	lib/wine/aarch64-windows/atl100.dll	pe	misc	True	1187840	a142628a899034ba053b50bbe801866fc9c4e776cf413bd7be69932cf332b99f		unknown		atl100.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__atl110.dll	lib/wine/aarch64-windows/atl110.dll	pe	misc	True	1187840	26399d67b6c1586211b093c05978024c7cdf21cfce8e660f1f7bfdc95149045f		unknown		atl110.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__atl80.dll	lib/wine/aarch64-windows/atl80.dll	pe	misc	True	1216512	26f6daa70cc7d981f345873d5e0be3fdb74748f24a78401e5a09e1ce47c67b9c		unknown		atl80.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__atl90.dll	lib/wine/aarch64-windows/atl90.dll	pe	misc	True	1191936	65f29b5495009e9034f76c92bdfbd764fb4fa3c82010df83a0a83037e1f954a8		unknown		atl90.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__atlthunk.dll	lib/wine/aarch64-windows/atlthunk.dll	pe	misc	True	126976	f8699464443d0cee3a0c36609a536aafa832f00bc0b95a105e994b0d31a838e0		unknown		atlthunk.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__atmlib.dll	lib/wine/aarch64-windows/atmlib.dll	pe	misc	True	131072	5741613419743cc54fa508a96595b97b27d715f05215561f41277dc3a86d6ada		unknown		atmlib.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__attrib.exe	lib/wine/aarch64-windows/attrib.exe	pe	misc	True	110592	dd91112f7626b445a42d3ae4cf9f057e4f61631ae83fb0fd40ed0645585993f8		unknown		attrib.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__audioses.dll	lib/wine/aarch64-windows/audioses.dll	pe	audio	True	77824	f712246c3c4724839e82c0dab51dffd05a05f5724765b527036971fe3c895070		unknown		audioses.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__authz.dll	lib/wine/aarch64-windows/authz.dll	pe	misc	True	147456	f5e861db9b7490fcc30160de6eaee91e39469fe276a5baf5291368a7f7bd18f2		unknown		authz.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__avicap32.dll	lib/wine/aarch64-windows/avicap32.dll	pe	misc	True	196608	468e5b8c19db0e767bfa1b22afa40150f23cf46bdb238a07c50faac0c6071d9a		unknown		avicap32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__avifil32.dll	lib/wine/aarch64-windows/avifil32.dll	pe	misc	True	1691648	4f2e7accf3db5faaaf40fc7dfaa31429502e93191abe6d027cd0653f6e71ece0		unknown		avifil32.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__avrt.dll	lib/wine/aarch64-windows/avrt.dll	pe	misc	True	139264	94e799c3a9095961bcd3fb2166054ce36dd61173c3976a7b1d3ba499dbb3e235		unknown		avrt.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
