id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__i386-windows__msvcr110.dll	lib/wine/i386-windows/msvcr110.dll	pe	misc	True	2600960	39dde036b5690589c1719dd1257b2b79057092c9bd04c1e81aa7a449689ff3e9		unknown		msvcr110.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	WRAPPER_|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcr120.dll	lib/wine/i386-windows/msvcr120.dll	pe	cpu_translation	True	2813952	a96553df34ffd640622c60720b3ec340326e43ea1947ae24e3cf894647a93746		unknown		msvcr120.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	WRAPPER_|fex|kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcr120_app.dll	lib/wine/i386-windows/msvcr120_app.dll	pe	misc	True	163840	cee48bb67241cc6acdedbb2b2d703b0c20cf8ff3e1d4375d168654403baec134		unknown		msvcr120_app.dll	1	kernel32.dll	0	0	0	0	kernel32|proton|wine
lib__wine__i386-windows__msvcr70.dll	lib/wine/i386-windows/msvcr70.dll	pe	misc	True	2166784	bb38d393664dfd8c7081bf77631c5c7839d6596f96e78ed22ee5bf1ab0994b2e		unknown		msvcr70.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	kernel32|ntdll|proton|steam|wine
lib__wine__i386-windows__msvcr71.dll	lib/wine/i386-windows/msvcr71.dll	pe	misc	True	2170880	c97d473f624f0e56099a9877b8d049c240788061ebcbdc7a70b8f35a82e2c375		unknown		msvcr71.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	kernel32|ntdll|proton|steam|wine
lib__wine__i386-windows__msvcr80.dll	lib/wine/i386-windows/msvcr80.dll	pe	misc	True	2306048	008061646300a397f3b5a28c81d2d508b2cf4c6c44498f3cc8376afd348df525		unknown		msvcr80.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcr90.dll	lib/wine/i386-windows/msvcr90.dll	pe	misc	True	2301952	30b43d24b268fde30cad8f809cb7967a12b31e614cba2ee1d1c67a7fded2cffd		unknown		msvcr90.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__i386-windows__msvcrt.dll	lib/wine/i386-windows/msvcrt.dll	pe	misc	True	2252800	7bc9b6e84fcdd85d1cef18d4c5b00ffcf53beaa3d4d0e55da1b146d9a7479702		unknown		msvcrt.dll	2	ntdll.dll|kernel32.dll	0	0	0	0	kernel32|ntdll|proton|steam|wine
lib__wine__i386-windows__msvcrt20.dll	lib/wine/i386-windows/msvcrt20.dll	pe	misc	True	110592	47a80779a25f61edfc24527d7939061c64e87393539abefa0ae50ad769b3ad4d		unknown		msvcrt20.dll	2	msvcrt.dll|kernel32.dll	0	0	0	0	kernel32|proton|wine
lib__wine__i386-windows__msvcrt40.dll	lib/wine/i386-windows/msvcrt40.dll	pe	misc	True	102400	f46bac460ae45711644f9fdfe420e9d38a03ea7c1fdd5e129cb33452f6379629		unknown		msvcrt40.dll	1	kernel32.dll	0	0	0	0	kernel32|proton|wine
