id	relative_path	binary_format	cluster	critical	size_bytes	sha256	class	machine	type	soname	needed_count	needed	defined_symbols	undefined_symbols	jni_exports	vk_exports	string_markers
lib__wine__aarch64-windows__scarddlg.dll	lib/wine/aarch64-windows/scarddlg.dll	pe	misc	True	77824	12c26c761aff84453687c8f7a63f7a6923eba4fc85f705d245f25473ed4569ef		unknown		scarddlg.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__scardsvr.dll	lib/wine/aarch64-windows/scardsvr.dll	pe	misc	True	122880	ec53f25318d654c3cd2cd2d5af5a2fccc30609269e16528e4abac2b3ece33a39		unknown		scardsvr.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__sccbase.dll	lib/wine/aarch64-windows/sccbase.dll	pe	misc	True	94208	49b04ce7d6deb1b1547f86040a35c575cfe80306eadab1945ec1148fc1adc629		unknown		sccbase.dll	0		0	0	0	0	kernel32|proton|wine
lib__wine__aarch64-windows__schannel.dll	lib/wine/aarch64-windows/schannel.dll	pe	misc	True	188416	22bb450bb5e1ba0555df85a282014fd0d6f4c14fce10b02a99d5b1ccef93f329		unknown		schannel.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__schedsvc.dll	lib/wine/aarch64-windows/schedsvc.dll	pe	misc	True	528384	727d771cb2f32b9db7bb8125cfb20cf2e737294dfac5fedae131a80738e346c5		unknown		schedsvc.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__schtasks.exe	lib/wine/aarch64-windows/schtasks.exe	pe	misc	True	167936	5d0b3814b3786454fdf75b8e968401811199451566e249ce781d8dafd7ef0013		unknown		schtasks.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__scrobj.dll	lib/wine/aarch64-windows/scrobj.dll	pe	misc	True	1081344	5d31a086a4adf8d6779694843a8145ac0c1093092862154edf5f04f0f60c2db7		unknown		scrobj.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__scrrun.dll	lib/wine/aarch64-windows/scrrun.dll	pe	cpu_translation	True	1474560	4711688fef7e01d377f9b2210a8d14b41ae34d74f45fe4fbf3db6d11cf86292f		unknown		scrrun.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine
lib__wine__aarch64-windows__scsiport.sys	lib/wine/aarch64-windows/scsiport.sys	pe	cpu_translation	True	172032	b118fccb6b09481814209ac9cf4a73d1eca413a8d9fda6815ddaee87875e8014		unknown		scsiport.sys	0		0	0	0	0	fex|kernel32|proton|wine
lib__wine__aarch64-windows__sdbinst.exe	lib/wine/aarch64-windows/sdbinst.exe	pe	misc	True	90112	2d664ac5475769792340c83abd20d30a5bdbb2987b2d689f6b273ffa8c3e4eae		unknown		sdbinst.exe	0		0	0	0	0	kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__secedit.exe	lib/wine/aarch64-windows/secedit.exe	pe	misc	True	65536	7382becd4f2509522865f594b27f2f65b18eb06af233366bc8ffd3300e49728c		unknown		secedit.exe	0		0	0	0	0	proton|wine|wow64
lib__wine__aarch64-windows__sechost.dll	lib/wine/aarch64-windows/sechost.dll	pe	cpu_translation	True	905216	9d0bbc926168f9ed947362a7882c069080325a31253713d5f98781731076f1dc		unknown		sechost.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|steam|wine|wow64
lib__wine__aarch64-windows__secur32.dll	lib/wine/aarch64-windows/secur32.dll	pe	cpu_translation	True	1179648	3617e9bbaa1f6a35da2b6a6fadfc14a3cfb7bf981625ac19fc84f6f24d0481b6		unknown		secur32.dll	0		0	0	0	0	fex|kernel32|ntdll|proton|wine|wow64
lib__wine__aarch64-windows__security.dll	lib/wine/aarch64-windows/security.dll	pe	misc	True	8192	cac0d134c6777cdf9cc544c44d1b0d2760117cd1cc6e72b29f61aaca353abaad		unknown		security.dll	0		0	0	0	0	wine
lib__wine__aarch64-windows__sensapi.dll	lib/wine/aarch64-windows/sensapi.dll	pe	misc	True	126976	ee334a5f86d7efc5006503f118d77908afd600664002dd7c0d00b08410a5d0e6		unknown		sensapi.dll	0		0	0	0	0	kernel32|ntdll|proton|wine
